Ligne,Période Exploitation,Type de Jour,Tournée,Année civile,Année civile/mois,Année civile/semaine,Jour calendaire,Jour de la semaine,Mois calendrier,KM planifié
Ligne bleue,18N,Dimanche,001,2019,2019-01,201901,2019-01-06,Dimanche,1,15810
Ligne bleue,18N,Quatrième pér. fête,001,2019,2019-01,201901,2019-01-02,Mercredi,1,15810
Ligne bleue,18N,Samedi,001,2019,2019-01,201901,2019-01-05,Samedi,1,"16315,92"
Ligne bleue,18N,Semaine,001,2019,2019-01,201901,2019-01-03,Jeudi,1,"26940,24"
Ligne bleue,18N,Semaine,001,2019,2019-01,201901,2019-01-04,Vendredi,1,"26940,24"
Ligne bleue,18N,Troisième pér. fête,001,2019,2019-01,201901,2019-01-01,Mardi,1,"14039,28"
Ligne bleue,19J,Dimanche,001,2019,2019-01,201902,2019-01-13,Dimanche,1,15810
Ligne bleue,19J,Dimanche,001,2019,2019-01,201903,2019-01-20,Dimanche,1,15810
Ligne bleue,19J,Dimanche,001,2019,2019-01,201904,2019-01-27,Dimanche,1,15810
Ligne bleue,19J,Dimanche,001,2019,2019-02,201905,2019-02-03,Dimanche,2,15810
Ligne bleue,19J,Dimanche,001,2019,2019-02,201906,2019-02-10,Dimanche,2,15810
Ligne bleue,19J,Dimanche,001,2019,2019-02,201907,2019-02-17,Dimanche,2,15810
Ligne bleue,19J,Dimanche,001,2019,2019-02,201908,2019-02-24,Dimanche,2,15810
Ligne bleue,19J,Dimanche,001,2019,2019-03,201909,2019-03-03,Dimanche,3,15810
Ligne bleue,19J,Dimanche,001,2019,2019-03,201910,2019-03-10,Dimanche,3,15810
Ligne bleue,19J,Dimanche,001,2019,2019-03,201911,2019-03-17,Dimanche,3,15810
Ligne bleue,19J,Dimanche,001,2019,2019-03,201912,2019-03-24,Dimanche,3,15810
Ligne bleue,19J,Samedi,001,2019,2019-01,201902,2019-01-12,Samedi,1,"16315,92"
Ligne bleue,19J,Samedi,001,2019,2019-01,201903,2019-01-19,Samedi,1,"16315,92"
Ligne bleue,19J,Samedi,001,2019,2019-01,201904,2019-01-26,Samedi,1,"16315,92"
Ligne bleue,19J,Samedi,001,2019,2019-02,201905,2019-02-02,Samedi,2,"16315,92"
